	object	relation	subject_external_db	subject_external_id	subject_name
317	fan-shaped neuron	is_a	neuprint_JRC	326870795	FB9B_e^FB09i_R
318	DN1p neuron	is_a	neuprint_JRC	5813071319	DN1pB_R
319	fan-shaped neuron	is_a	neuprint_JRC	329638509	FB7E^FB07j_R
320	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813022042	KCab-a
321	alpha/beta Kenyon cell	is_a	neuprint_JRC	545906392	(MBDLaxon2)
322	alpha/beta Kenyon cell	is_a	neuprint_JRC	1016459595	KCab-s
323	alpha/beta Kenyon cell	is_a	neuprint_JRC	940084060	KCab-c
324	alpha/beta Kenyon cell	is_a	neuprint_JRC	570288900	KCab-s
325	alpha/beta Kenyon cell	is_a	neuprint_JRC	331999213	KCab-s
326	alpha/beta Kenyon cell	is_a	neuprint_JRC	363733406	KCab-s
327	alpha/beta Kenyon cell	is_a	neuprint_JRC	332685755	KCab-s
328	alpha/beta Kenyon cell	is_a	neuprint_JRC	1420306364	KCab-s
329	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980803	KCab-c
330	fan-shaped neuron	is_a	neuprint_JRC	5813127091	FB9A^FB09a_R
331	fan-shaped neuron	is_a	neuprint_JRC	5813010809	FB8G^FB07h_L
332	fan-shaped neuron	is_a	neuprint_JRC	236331138	FB7G^FB06f_L
333	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021446	KCab-c
334	alpha/beta Kenyon cell	is_a	neuprint_JRC	538282782	KCab-a
335	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813021441	KCab-s
336	alpha/beta Kenyon cell	is_a	neuprint_JRC	909704857	KCab-c
337	alpha/beta Kenyon cell	is_a	neuprint_JRC	877987539	KCab-c
338	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980414	KCab-c
