subject_external_id	object	subject_external_db	relation	pub
3436420	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17380345	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
13007383	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17587734	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
12026822	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
2648254	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
17654519	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
3486867	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5478818	larval descending neuron to SEZ	catmaid_l1em	is_a	FBrf0255988
5754346	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
3764792	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
10411574	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17379420	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
14651659	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
13736919	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
18929470	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
13760954	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17877682	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
6700147	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
7005184	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
7569260	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
1622901	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16952691	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16851577	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16952671	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16952648	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16952665	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16670540	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16952642	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16667592	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
19361427	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16851496	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
6156152	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
5052370	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16950798	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
6154200	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
5900426	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
6154921	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16950443	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
6155577	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16950550	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16950354	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
16339338	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17736748	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17639824	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
10716080	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
10728318	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
3595837	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
3598000	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17022668	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
12474164	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17223685	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
8880781	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
1678567	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
7571966	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
6153877	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
3048606	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
7335439	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
3009700	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
5500958	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
8755914	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
8741619	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
10915553	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
17732270	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
13422280	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
18527962	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
15588711	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
7227010	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
15365184	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
5763407	larval descending neuron to VNC	catmaid_l1em	is_a	FBrf0255988
