subject_external_db	subject_external_id	subject_name	relation	object	pub
catmaid_l1em	15508475	AN-R-Sens-B2-VM-04	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15594038	AN-R-Sens-B2-VM-05	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	16362243	AN-R-Sens-B2-VM-07	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15445198	AN-R-Sens-B2-VM-08	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3650600	AN-R-Sens-B3-ACal-01 (temp sensing right neuron alone)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	18630153	AN-R-Sens-B3-ACal-02 (temp sensing right neuron together 2)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3487306	AN-R-Sens-B3-ACal-03 (temp sensing right neuron together 1)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4023881	AN-R-Sens-B3-ACal-04 (Non-ORN 2)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3985829	AN-R-Sens-B3-ACal-05 (Non-ORN 1)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4017089	AN-R-Sens-B3-ACal-06 (Degraded? Temp?)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3966683	AN-R-Sens-B3-ACal-07 (upstream of Multig. Olfactory PN 3) right	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	3822523	AN-R-Sens-B3-ACp-08	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	9853425	AN-R-Sens-B3-ACp-09 (gustatory pheromone neuron)	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4097554	AN-R-Sens-B3-ACpl-10	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	16115501	AN-R-Sens-B3-VM-11	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4096703	AN-R-Sens-B3-VM-12	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4044654	AN-R-Sens-B3-VM-13	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4030526	AN-R-Sens-B3-VM-14	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4059758	AN-R-Sens-B3-VM-15	is_a	larval antennal-pharyngeal nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	17147698	MBE11a left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	8094859	MBE11a right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	8922644	MBE16 left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	8297018	MBE16 right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	16223537	MBE18 left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	15398730	MBE23 left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	6703240	MBE23 right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	16868923	MBE24b left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	17013073	MBE24b right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	15421363	MBE2a left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	15253921	MBE34 left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	4598109	MBE34 right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	9109799	MBE35 left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	9074101	MBE35 right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	16846805	MBE5b left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	18028397	MBE5b right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	14082322	MBE9b left	is_a	mushroom body extrinsic neuron	
catmaid_l1em	7840791	MBE9b right	is_a	mushroom body extrinsic neuron	
catmaid_l1em	8055671	MN-L-Sens-B1-ACpl-01	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15698623	MN-L-Sens-B1-VM-02	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15714330	MN-L-Sens-B1-VM-03	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15700147	MN-L-Sens-B1-VM-04	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15714173	MN-L-Sens-B1-VM-05	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	4338596	MN-L-Sens-B2-ACp-01	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15716701	MN-L-Sens-B2-ACp-02	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15716309	MN-L-Sens-B2-ACp-03	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
catmaid_l1em	15715643	MN-L-Sens-B2-ACp-04	is_a	larval maxillary-labial nerve sensory neuron	FlyBase:FBrf0240975
